UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 07:22 ?        00:00:01 /usr/lib/systemd/systemd --switched-root --system --deserialize=36
root           2       0  0 07:22 ?        00:00:00 [kthreadd]
root           3       2  0 07:22 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 07:22 ?        00:00:00 [kworker/R-rcu_g]
root           5       2  0 07:22 ?        00:00:00 [kworker/R-rcu_p]
root           6       2  0 07:22 ?        00:00:00 [kworker/R-slub_]
root           7       2  0 07:22 ?        00:00:00 [kworker/R-netns]
root          13       2  0 07:22 ?        00:00:00 [kworker/R-mm_pe]
root          14       2  0 07:22 ?        00:00:00 [rcu_tasks_kthread]
root          15       2  0 07:22 ?        00:00:00 [rcu_tasks_rude_kthread]
root          16       2  0 07:22 ?        00:00:00 [rcu_tasks_trace_kthread]
root          17       2  0 07:22 ?        00:00:02 [ksoftirqd/0]
root          18       2  0 07:22 ?        00:00:00 [rcu_preempt]
root          19       2  0 07:22 ?        00:00:00 [migration/0]
root          20       2  0 07:22 ?        00:00:00 [idle_inject/0]
root          21       2  0 07:22 ?        00:00:00 [cpuhp/0]
root          22       2  0 07:22 ?        00:00:00 [kdevtmpfs]
root          23       2  0 07:22 ?        00:00:00 [kworker/R-inet_]
root          24       2  0 07:22 ?        00:00:00 [kauditd]
root          26       2  0 07:22 ?        00:00:00 [oom_reaper]
root          27       2  0 07:22 ?        00:00:00 [kworker/R-write]
root          28       2  0 07:22 ?        00:00:00 [kcompactd0]
root          29       2  0 07:22 ?        00:00:00 [ksmd]
root          30       2  0 07:22 ?        00:00:00 [khugepaged]
root          31       2  0 07:22 ?        00:00:00 [kworker/R-crypt]
root          32       2  0 07:22 ?        00:00:00 [kworker/R-kinte]
root          33       2  0 07:22 ?        00:00:00 [kworker/R-kbloc]
root          34       2  0 07:22 ?        00:00:00 [kworker/R-blkcg]
root          35       2  0 07:22 ?        00:00:00 [kworker/R-tpm_d]
root          36       2  0 07:22 ?        00:00:00 [kworker/R-ata_s]
root          37       2  0 07:22 ?        00:00:00 [kworker/R-md]
root          38       2  0 07:22 ?        00:00:00 [kworker/R-md_bi]
root          39       2  0 07:22 ?        00:00:00 [kworker/R-edac-]
root          40       2  0 07:22 ?        00:00:00 [kworker/R-devfr]
root          41       2  0 07:22 ?        00:00:00 [watchdogd]
root          43       2  0 07:22 ?        00:00:00 [kswapd0]
root          51       2  0 07:22 ?        00:00:00 [kworker/R-kthro]
root          57       2  0 07:22 ?        00:00:00 [kworker/R-acpi_]
root          58       2  0 07:22 ?        00:00:00 [scsi_eh_0]
root          59       2  0 07:22 ?        00:00:00 [kworker/R-scsi_]
root          60       2  0 07:22 ?        00:00:00 [scsi_eh_1]
root          61       2  0 07:22 ?        00:00:00 [kworker/R-scsi_]
root          62       2  0 07:22 ?        00:00:00 [scsi_eh_2]
root          63       2  0 07:22 ?        00:00:00 [kworker/R-scsi_]
root          64       2  0 07:22 ?        00:00:00 [kworker/R-dm_bu]
root          66       2  0 07:22 ?        00:00:00 [kworker/R-mld]
root          67       2  0 07:22 ?        00:00:00 [kworker/R-ipv6_]
root          72       2  0 07:22 ?        00:00:00 [kworker/R-kstrp]
root          77       2  0 07:22 ?        00:00:00 [kworker/u3:0]
root         406       2  0 07:22 ?        00:00:00 [irq/18-vmwgfx]
root         407       2  0 07:22 ?        00:00:00 [kworker/R-ttm]
root         435       2  0 07:22 ?        00:00:00 [kworker/R-xfsal]
root         436       2  0 07:22 ?        00:00:00 [kworker/R-xfs_m]
root         437       2  0 07:22 ?        00:00:00 [kworker/R-xfs-b]
root         438       2  0 07:22 ?        00:00:00 [kworker/R-xfs-c]
