UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 04:16 ?        00:00:02 /usr/lib/systemd/systemd --switched-root --system --deserialize=36
root           2       0  0 04:16 ?        00:00:00 [kthreadd]
root           3       2  0 04:16 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 04:16 ?        00:00:00 [kworker/R-rcu_g]
root           5       2  0 04:16 ?        00:00:00 [kworker/R-rcu_p]
root           6       2  0 04:16 ?        00:00:00 [kworker/R-slub_]
root           7       2  0 04:16 ?        00:00:00 [kworker/R-netns]
root          11       2  0 04:16 ?        00:00:00 [kworker/u4:0-events_unbound]
root          12       2  0 04:16 ?        00:00:00 [kworker/u4:1-netns]
root          13       2  0 04:16 ?        00:00:00 [kworker/R-mm_pe]
root          14       2  0 04:16 ?        00:00:00 [rcu_tasks_kthread]
root          15       2  0 04:16 ?        00:00:00 [rcu_tasks_rude_kthread]
root          16       2  0 04:16 ?        00:00:00 [rcu_tasks_trace_kthread]
root          17       2  0 04:16 ?        00:00:08 [ksoftirqd/0]
root          18       2  0 04:16 ?        00:00:19 [rcu_preempt]
root          19       2  0 04:16 ?        00:00:00 [migration/0]
root          20       2  0 04:16 ?        00:00:00 [idle_inject/0]
root          21       2  0 04:16 ?        00:00:00 [cpuhp/0]
root          22       2  0 04:16 ?        00:00:00 [cpuhp/1]
root          23       2  0 04:16 ?        00:00:00 [idle_inject/1]
root          24       2  0 04:16 ?        00:00:01 [migration/1]
root          25       2  0 04:16 ?        00:00:11 [ksoftirqd/1]
root          30       2  0 04:16 ?        00:00:00 [kdevtmpfs]
root          31       2  0 04:16 ?        00:00:00 [kworker/R-inet_]
root          33       2  0 04:16 ?        00:00:00 [kauditd]
root          35       2  0 04:16 ?        00:00:00 [oom_reaper]
root          37       2  0 04:16 ?        00:00:00 [kworker/R-write]
root          38       2  0 04:16 ?        00:00:02 [kcompactd0]
root          39       2  0 04:16 ?        00:00:00 [ksmd]
root          40       2  0 04:16 ?        00:00:00 [khugepaged]
root          41       2  0 04:16 ?        00:00:00 [kworker/R-crypt]
root          42       2  0 04:16 ?        00:00:00 [kworker/R-kinte]
root          43       2  0 04:16 ?        00:00:00 [kworker/R-kbloc]
root          44       2  0 04:16 ?        00:00:00 [kworker/R-blkcg]
root          45       2  0 04:16 ?        00:00:00 [kworker/R-tpm_d]
root          46       2  0 04:16 ?        00:00:00 [kworker/R-ata_s]
root          47       2  0 04:16 ?        00:00:00 [kworker/R-md]
root          48       2  0 04:16 ?        00:00:00 [kworker/R-md_bi]
root          49       2  0 04:16 ?        00:00:00 [kworker/R-edac-]
root          50       2  0 04:16 ?        00:00:00 [kworker/R-devfr]
root          51       2  0 04:16 ?        00:00:00 [watchdogd]
root          53       2  0 04:16 ?        00:00:00 [kswapd0]
root          62       2  0 04:16 ?        00:00:00 [kworker/R-kthro]
root          68       2  0 04:16 ?        00:00:00 [kworker/R-acpi_]
root          69       2  0 04:16 ?        00:00:00 [scsi_eh_0]
root          70       2  0 04:16 ?        00:00:00 [kworker/R-scsi_]
root          71       2  0 04:16 ?        00:00:00 [scsi_eh_1]
root          72       2  0 04:16 ?        00:00:00 [kworker/R-scsi_]
root          73       2  0 04:16 ?        00:00:00 [scsi_eh_2]
root          74       2  0 04:16 ?        00:00:00 [kworker/R-scsi_]
root          77       2  0 04:16 ?        00:00:00 [kworker/R-dm_bu]
root          78       2  0 04:16 ?        00:00:00 [kworker/R-mld]
root          79       2  0 04:16 ?        00:00:00 [kworker/R-ipv6_]
root          86       2  0 04:16 ?        00:00:00 [kworker/R-kstrp]
root          92       2  0 04:16 ?        00:00:00 [kworker/u7:0]
root          93       2  0 04:16 ?        00:00:00 [kworker/u8:0]
root          94       2  0 04:16 ?        00:00:00 [kworker/u9:0]
root         412       2  0 04:16 ?        00:00:01 [irq/18-vmwgfx]
root         416       2  0 04:16 ?        00:00:00 [kworker/R-ttm]
root         448       2  0 04:16 ?        00:00:00 [kworker/R-xfsal]
root         449       2  0 04:16 ?        00:00:00 [kworker/R-xfs_m]
root         450       2  0 04:16 ?        00:00:00 [kworker/R-xfs-b]
root         451       2  0 04:16 ?        00:00:00 [kworker/R-xfs-c]
root         452       2  0 04:16 ?        00:00:00 [kworker/R-xfs-r]
root         453       2  0 04:16 ?        00:00:00 [kworker/R-xfs-b]
root         454       2  0 04:16 ?        00:00:00 [kworker/R-xfs-i]
root         455       2  0 04:16 ?        00:00:00 [kworker/R-xfs-l]
root         456       2  0 04:16 ?        00:00:00 [kworker/R-xfs-c]
root         457       2  0 04:16 ?        00:00:23 [xfsaild/sda2]
root         543       1  0 04:16 ?        00:00:00 /usr/lib/systemd/systemd-journald
root         580       1  0 04:16 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root         584       2  0 04:16 ?        00:00:00 [psimon]
root         631       2  0 04:16 ?        00:00:00 [kworker/R-xfs-b]
root         632       2  0 04:16 ?        00:00:00 [kworker/R-xfs-c]
root         633       2  0 04:16 ?        00:00:00 [kworker/R-xfs-r]
root         634       2  0 04:16 ?        00:00:00 [kworker/R-xfs-b]
root         635       2  0 04:16 ?        00:00:00 [kworker/R-xfs-i]
root         636       2  0 04:16 ?        00:00:00 [kworker/R-xfs-l]
root         637       2  0 04:16 ?        00:00:00 [kworker/R-xfs-c]
root         638       2  0 04:16 ?        00:00:00 [xfsaild/sda3]
root         701       1  0 04:16 ?        00:00:00 /sbin/auditd
root         703     701  0 04:16 ?        00:00:00 /usr/sbin/sedispatch
systemd+     705       1  0 04:16 ?        00:00:29 /usr/lib/systemd/systemd-oomd
root         706       2  0 04:16 ?        00:00:00 [kworker/R-rpcio]
root         707       2  0 04:16 ?        00:00:00 [kworker/R-xprti]
systemd+     710       1  0 04:16 ?        00:00:04 /usr/lib/systemd/systemd-resolved
root         714       1  0 04:16 ?        00:00:00 /usr/lib/systemd/systemd-userdbd
root         724       2  0 04:16 ?        00:00:00 [psimon]
dbus         737       1  0 04:16 ?        00:00:00 /usr/bin/dbus-broker-launch --scope system --audit
dbus         738     737  0 04:16 ?        00:00:07 dbus-broker --log 4 --controller 9 --machine-id 7701c5a0df0d4049bf772bb234357ba3 --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
avahi        739       1  0 04:16 ?        00:00:00 avahi-daemon: running [rnyhof.local]
root         741       1  0 04:16 ?        00:00:01 /usr/sbin/irqbalance --foreground
root         746       1  0 04:16 ?        00:00:00 /usr/sbin/mcelog --daemon --foreground
polkitd      748       1  0 04:16 ?        00:00:04 /usr/lib/polkit-1/polkitd --no-debug
root         749       1  0 04:16 ?        00:00:00 /usr/libexec/power-profiles-daemon
root         750       1  0 04:16 ?        00:00:10 /usr/sbin/rsyslogd -n
rtkit        752       1  0 04:16 ?        00:00:01 /usr/libexec/rtkit-daemon
root         754       1  0 04:16 ?        00:00:00 /usr/libexec/accounts-daemon
root         755       1  0 04:16 ?        00:00:00 /usr/libexec/switcheroo-control
root         758       1  0 04:16 ?        00:00:00 /usr/lib/systemd/systemd-logind
root         759       1  0 04:16 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         760       1  0 04:16 ?        00:00:03 /usr/libexec/upowerd
root         761       1  0 04:16 ?        00:00:18 /usr/bin/VBoxDRMClient
root         784       1  0 04:16 ?        00:00:11 /usr/sbin/VBoxService -f
avahi        812     739  0 04:16 ?        00:00:00 avahi-daemon: chroot helper
root         824       1  0 04:16 ?        00:00:00 /usr/sbin/alsactl -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --initfile=/lib/alsa/init/00main rdaemon
root         839       1  0 04:16 ?        00:00:00 /usr/sbin/abrtd -d -s
chrony       861       1  0 04:16 ?        00:00:00 /usr/sbin/chronyd -F 2
root         926       1  0 04:16 ?        00:00:00 /usr/sbin/ModemManager
root         927       1  0 04:16 ?        00:00:00 /usr/bin/abrt-dump-journal-core -D -T -f -e
root         928       1  0 04:16 ?        00:00:00 /usr/bin/abrt-dump-journal-oops -fxtD
root         929       1  0 04:16 ?        00:00:00 /usr/bin/abrt-dump-journal-xorg -fxtD
root         930       1  0 04:16 ?        00:00:00 /usr/bin/python3 -sP /usr/sbin/firewalld --nofork --nopid
root         938       1  0 04:16 ?        00:00:22 /usr/sbin/NetworkManager --no-daemon
root         964       1  0 04:16 ?        00:00:00 /usr/sbin/cupsd -l
root         972       1  0 04:16 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root         979       1  0 04:16 ?        00:00:00 /usr/sbin/gssproxy -D
root         996       1  0 04:16 ?        00:00:00 /usr/sbin/atd -f
root         998       1  0 04:16 ?        00:00:00 /usr/sbin/crond -n
colord      1007       1  0 04:16 ?        00:00:00 /usr/libexec/colord
root        1013       1  0 04:16 ?        00:00:00 /usr/bin/sddm
root        1139       1  0 04:16 ?        00:00:00 /usr/libexec/uresourced
root        1141       2  0 04:16 ?        00:00:00 [psimon]
root        1144       1  0 04:16 ?        00:00:00 /usr/libexec/postfix/master -w
postfix     1148    1144  0 04:16 ?        00:00:00 qmgr -l -t unix -u
root        1304    1013  0 04:18 ?        00:00:00 /usr/libexec/sddm-helper --socket /tmp/sddm-auth-cf88e82e-c3f8-4c17-bd38-86893ff12caa --id 1 --start /usr/bin/startplasma-x11 --user rnyhof --display-server /usr/bin/X -nolisten tcp -background none -seat seat0 -noreset -keeptty -novtswitch -verbose 3
rnyhof      1307       1  0 04:18 ?        00:00:00 /usr/lib/systemd/systemd --user
rnyhof      1308    1307  0 04:18 ?        00:00:00 (sd-pam)
rnyhof      1357       1  0 04:18 ?        00:00:05 /usr/bin/kwalletd5 --pam-login 12 13
rnyhof      1358    1304  0 04:18 tty2     00:00:00 /usr/libexec/sddm-helper-start-x11user /usr/bin/X -nolisten tcp -background none -seat seat0 -noreset -keeptty -novtswitch -verbose 3 /etc/X11/xinit/Xsession "/usr/bin/startplasma-x11"
rnyhof      1359    1358  2 04:18 tty2     00:14:24 /usr/libexec/Xorg -nolisten tcp -background none -seat seat0 -noreset -keeptty -novtswitch -verbose 3 -auth /run/user/1026/xauth_toelXQ -displayfd 12 vt2
rnyhof      1361    1358  0 04:18 tty2     00:00:00 /usr/bin/startplasma-x11
rnyhof      1390    1307  0 04:18 ?        00:00:00 /usr/bin/dbus-broker-launch --scope user
rnyhof      1391    1390  0 04:18 ?        00:00:01 dbus-broker --log 4 --controller 10 --machine-id 7701c5a0df0d4049bf772bb234357ba3 --max-bytes 100000000000000 --max-fds 25000000000000 --max-matches 5000000000
rnyhof      1400    1307  0 04:18 ?        00:00:00 /usr/libexec/imsettings-daemon
rnyhof      1582       1  0 04:18 ?        00:00:00 /usr/bin/VBoxClient --clipboard
rnyhof      1584    1582  0 04:18 ?        00:00:00 /usr/bin/VBoxClient --clipboard
rnyhof      1597       1  0 04:18 ?        00:00:00 /usr/bin/VBoxClient --seamless
rnyhof      1598    1597  0 04:18 ?        00:00:26 /usr/bin/VBoxClient --seamless
rnyhof      1605       1  0 04:18 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
rnyhof      1606    1605  0 04:18 ?        00:01:58 /usr/bin/VBoxClient --draganddrop
rnyhof      1613    1361  0 04:18 ?        00:00:00 /usr/bin/ssh-agent /bin/sh -c exec -l /bin/ksh -c "/usr/bin/startplasma-x11"
rnyhof      1831    1307  0 04:18 ?        00:00:00 /usr/libexec/uresourced --user
rnyhof      1842    1307  0 04:18 ?        00:00:02 /usr/libexec/xdg-desktop-portal
rnyhof      1844    1307  0 04:18 ?        00:00:00 /usr/bin/pipewire
rnyhof      1845    1307  0 04:18 ?        00:00:00 /usr/bin/wireplumber
rnyhof      1864    1307  0 04:18 ?        00:00:00 /usr/libexec/xdg-document-portal
rnyhof      1875    1307  0 04:18 ?        00:00:00 /usr/libexec/xdg-permission-store
root        1884    1864  0 04:18 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1026/doc
rnyhof      1893    1307  0 04:18 ?        00:00:06 /usr/bin/ksmserver
rnyhof      1895    1307  0 04:18 ?        00:00:20 /usr/bin/kded5
rnyhof      1896    1307  1 04:18 ?        00:10:38 /usr/bin/kwin_x11 --replace
rnyhof      1908    1307  0 04:18 ?        00:00:05 /usr/bin/kglobalaccel5
rnyhof      1916    1307  0 04:18 ?        00:00:53 /usr/bin/plasmashell --no-respawn
rnyhof      1921    1307  0 04:18 ?        00:00:00 /usr/libexec/dconf-service
rnyhof      1935    1307  0 04:18 ?        00:00:06 /usr/libexec/kactivitymanagerd
rnyhof      1943    1307  0 04:18 ?        00:00:05 /usr/bin/gmenudbusmenuproxy
rnyhof      1944    1307  0 04:18 ?        00:00:05 /usr/libexec/kf5/polkit-kde-authentication-agent-1
rnyhof      1945    1307  0 04:18 ?        00:00:10 /usr/libexec/org_kde_powerdevil
rnyhof      1946    1307  0 04:18 ?        00:00:05 /usr/libexec/xdg-desktop-portal-kde
rnyhof      1949    1307  0 04:18 ?        00:00:05 /usr/bin/xembedsniproxy
rnyhof      1970    1307  0 04:18 ?        00:00:00 /usr/bin/xsettingsd
rnyhof      1973    1307  0 04:18 ?        00:00:05 /usr/libexec/kf5/kscreen_backend_launcher
rnyhof      1991    1307  0 04:18 ?        00:00:01 /usr/libexec/xdg-desktop-portal-gtk
rnyhof      2049    1307  0 04:18 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
rnyhof      2055    2049  0 04:18 ?        00:00:00 /usr/bin/dbus-broker-launch --config-file=/usr/share/defaults/at-spi2/accessibility.conf --scope user
rnyhof      2059    2055  0 04:18 ?        00:00:00 dbus-broker --log 4 --controller 9 --machine-id 7701c5a0df0d4049bf772bb234357ba3 --max-bytes 100000000000000 --max-fds 6400000 --max-matches 5000000000
rnyhof      2066    1307  0 04:18 ?        00:00:04 /usr/libexec/at-spi2-registryd --use-gnome-session
rnyhof      2136    1307  0 04:18 ?        00:00:00 /usr/bin/abrt-applet --gapplication-service
rnyhof      2141    1307  0 04:18 ?        00:00:08 /usr/libexec/kdeconnectd
rnyhof      2173    1307  0 04:18 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
rnyhof      2175    1307  0 04:18 ?        00:00:06 /usr/bin/kaccess
