UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 08:47 ?        00:00:03 /usr/lib/systemd/systemd --switched-root --system --deserialize=49
root           2       0  0 08:47 ?        00:00:00 [kthreadd]
root           3       2  0 08:47 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 08:47 ?        00:00:00 [kworker/R-rcu_g]
root           5       2  0 08:47 ?        00:00:00 [kworker/R-rcu_p]
root           6       2  0 08:47 ?        00:00:00 [kworker/R-slub_]
root           7       2  0 08:47 ?        00:00:00 [kworker/R-netns]
root           9       2  0 08:47 ?        00:00:00 [kworker/0:0H-events_highpri]
root          12       2  0 08:47 ?        00:00:00 [kworker/R-mm_pe]
root          14       2  0 08:47 ?        00:00:00 [rcu_tasks_kthread]
root          15       2  0 08:47 ?        00:00:00 [rcu_tasks_rude_kthread]
root          16       2  0 08:47 ?        00:00:00 [rcu_tasks_trace_kthread]
root          17       2  0 08:47 ?        00:00:00 [ksoftirqd/0]
root          18       2  0 08:47 ?        00:00:07 [rcu_preempt]
root          19       2  0 08:47 ?        00:00:00 [migration/0]
root          20       2  0 08:47 ?        00:00:00 [idle_inject/0]
root          21       2  0 08:47 ?        00:00:00 [cpuhp/0]
root          22       2  0 08:47 ?        00:00:00 [cpuhp/1]
root          23       2  0 08:47 ?        00:00:00 [idle_inject/1]
root          24       2  0 08:47 ?        00:00:00 [migration/1]
root          25       2  0 08:47 ?        00:00:01 [ksoftirqd/1]
root          27       2  0 08:47 ?        00:00:00 [kworker/1:0H-events_highpri]
root          28       2  0 08:47 ?        00:00:00 [cpuhp/2]
root          29       2  0 08:47 ?        00:00:00 [idle_inject/2]
root          30       2  0 08:47 ?        00:00:00 [migration/2]
root          31       2  0 08:47 ?        00:00:00 [ksoftirqd/2]
root          33       2  0 08:47 ?        00:00:00 [kworker/2:0H-events_highpri]
root          34       2  0 08:47 ?        00:00:00 [cpuhp/3]
root          35       2  0 08:47 ?        00:00:00 [idle_inject/3]
root          36       2  0 08:47 ?        00:00:00 [migration/3]
root          37       2  0 08:47 ?        00:00:00 [ksoftirqd/3]
root          39       2  0 08:47 ?        00:00:00 [kworker/3:0H-events_highpri]
root          40       2  0 08:47 ?        00:00:00 [cpuhp/4]
root          41       2  0 08:47 ?        00:00:00 [idle_inject/4]
root          42       2  0 08:47 ?        00:00:00 [migration/4]
root          43       2  0 08:47 ?        00:00:04 [ksoftirqd/4]
root          45       2  0 08:47 ?        00:00:00 [kworker/4:0H-events_highpri]
root          46       2  0 08:47 ?        00:00:00 [cpuhp/5]
root          47       2  0 08:47 ?        00:00:00 [idle_inject/5]
root          48       2  0 08:47 ?        00:00:00 [migration/5]
root          49       2  0 08:47 ?        00:00:00 [ksoftirqd/5]
root          51       2  0 08:47 ?        00:00:00 [kworker/5:0H-events_highpri]
root          52       2  0 08:47 ?        00:00:00 [cpuhp/6]
root          53       2  0 08:47 ?        00:00:00 [idle_inject/6]
root          54       2  0 08:47 ?        00:00:00 [migration/6]
root          55       2  0 08:47 ?        00:00:00 [ksoftirqd/6]
root          57       2  0 08:47 ?        00:00:00 [kworker/6:0H-events_highpri]
root          58       2  0 08:47 ?        00:00:00 [cpuhp/7]
root          59       2  0 08:47 ?        00:00:00 [idle_inject/7]
root          60       2  0 08:47 ?        00:00:00 [migration/7]
root          61       2  0 08:47 ?        00:00:00 [ksoftirqd/7]
root          63       2  0 08:47 ?        00:00:00 [kworker/7:0H-events_highpri]
root          64       2  0 08:47 ?        00:00:00 [kdevtmpfs]
root          65       2  0 08:47 ?        00:00:00 [kworker/R-inet_]
root          66       2  0 08:47 ?        00:00:00 [kauditd]
root          67       2  0 08:47 ?        00:00:00 [oom_reaper]
root          68       2  0 08:47 ?        00:00:00 [kworker/R-write]
root          70       2  0 08:47 ?        00:00:00 [kcompactd0]
root          71       2  0 08:47 ?        00:00:00 [ksmd]
root          73       2  0 08:47 ?        00:00:00 [khugepaged]
root          74       2  0 08:47 ?        00:00:00 [kworker/R-crypt]
root          75       2  0 08:47 ?        00:00:00 [kworker/R-kinte]
root          76       2  0 08:47 ?        00:00:00 [kworker/R-kbloc]
root          77       2  0 08:47 ?        00:00:00 [kworker/R-blkcg]
root          79       2  0 08:47 ?        00:00:03 [irq/9-acpi]
root          84       2  0 08:47 ?        00:00:00 [kworker/R-tpm_d]
root          85       2  0 08:47 ?        00:00:00 [kworker/R-ata_s]
root          86       2  0 08:47 ?        00:00:00 [kworker/R-md]
root          87       2  0 08:47 ?        00:00:00 [kworker/R-md_bi]
root          88       2  0 08:47 ?        00:00:00 [kworker/R-edac-]
root          89       2  0 08:47 ?        00:00:00 [kworker/R-devfr]
root          90       2  0 08:47 ?        00:00:00 [watchdogd]
root          91       2  0 08:47 ?        00:00:00 [kworker/1:1H-events_highpri]
root          92       2  0 08:47 ?        00:00:00 [kswapd0]
root         102       2  0 08:47 ?        00:00:00 [kworker/R-kthro]
root         109       2  0 08:47 ?        00:00:00 [kworker/R-acpi_]
root         110       2  0 08:47 ?        00:00:00 [hwrng]
root         112       2  0 08:47 ?        00:00:00 [scsi_eh_0]
root         113       2  0 08:47 ?        00:00:00 [kworker/R-scsi_]
root         114       2  0 08:47 ?        00:00:00 [scsi_eh_1]
root         115       2  0 08:47 ?        00:00:00 [kworker/R-scsi_]
root         117       2  0 08:47 ?        00:00:00 [kworker/R-dm_bu]
root         119       2  0 08:47 ?        00:00:00 [kworker/R-mld]
root         120       2  0 08:47 ?        00:00:00 [kworker/R-ipv6_]
root         121       2  0 08:47 ?        00:00:00 [kworker/4:1H-events_highpri]
root         126       2  0 08:47 ?        00:00:00 [kworker/R-kstrp]
root         132       2  0 08:47 ?        00:00:07 [kworker/u17:0-uvcvideo]
root         245       2  0 08:47 ?        00:00:01 [kworker/5:1H-events_highpri]
root         286       2  0 08:47 ?        00:00:00 [kworker/3:1H-events_highpri]
root         287       2  0 08:47 ?        00:00:00 [kworker/6:1H-events_highpri]
root         291       2  0 08:47 ?        00:00:00 [kworker/2:1H-kblockd]
root         298       2  0 08:47 ?        00:00:00 [kworker/0:1H-xfs-log/nvme0n1p4]
root         300       2  0 08:47 ?        00:00:00 [kworker/7:1H-xfs-log/nvme0n1p4]
root         446       2  0 08:47 ?        00:00:00 [irq/51-DLL07BE:01]
root         457       2  0 08:47 ?        00:00:00 [kworker/R-nvme-]
root         458       2  0 08:47 ?        00:00:00 [kworker/R-nvme-]
root         459       2  0 08:47 ?        00:00:00 [kworker/R-nvme-]
root         461       2  0 08:47 ?        00:00:00 [kworker/R-nvme-]
root         504       2  0 08:47 ?        00:00:00 [kworker/R-ttm]
root         506       2  0 08:47 ?        00:00:00 [card0-crtc0]
root         507       2  0 08:47 ?        00:00:00 [card0-crtc1]
root         508       2  0 08:47 ?        00:00:00 [card0-crtc2]
root         536       2  0 08:47 ?        00:00:00 [kworker/R-xfsal]
root         537       2  0 08:47 ?        00:00:00 [kworker/R-xfs_m]
root         538       2  0 08:47 ?        00:00:00 [kworker/R-xfs-b]
root         539       2  0 08:47 ?        00:00:00 [kworker/R-xfs-c]
root         540       2  0 08:47 ?        00:00:00 [kworker/R-xfs-r]
